source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,"I bought a Samsung tablet after encountering problems, and so far I like it; all apps are available, but it is slower than my previous tablets, so I give it four stars.",I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,49.72340270685174,0.9204371571540833,0.6060606060606061,0.48484848484848486,0.4574212642394461
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.","It was the easiest tablet to use. I bought about five of them, and it was good for traveling.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,90.06006003947566,0.9941494464874268,0.9473684210526315,0.9473684210526315,0.9948307917163707
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.","I bought it for my husband for Christmas and was very happy; I also bought one for my son, with no issues, the expectations were met, it was worth the money, and it was a great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,36.89173531961004,0.9120513200759888,0.5869565217391305,0.4130434782608695,0.35682540301358645
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","Kids are great, and there are plenty of games and books.",Great for kids. Lots of games and books for kids..,40.395831325008004,0.9409844875335693,0.5714285714285713,0.47619047619047616,0.5245403946702648
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",I bought this for my 17-year-old son to give his eyes and neck a rest while watching media on his iPhone 7+. He loved it completely.,Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,52.91220737316351,0.9473095536231995,0.689655172413793,0.6551724137931035,0.5754101853824846
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",It is a great little device for cutting cable. Setup and programming are also easy.,Great little device. Time to cut the cable. Easy to set up and program.,56.161604701864896,0.9373973608016968,0.4137931034482759,0.3448275862068965,0.5247058823529412
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും","I bought a tablet for reading to replace my old one, and I’m happy with the purchase, doing exactly what I wanted even in bright sunlight.",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,40.23770096312606,0.9205413460731506,0.45901639344262296,0.39344262295081966,0.4625670241286864
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good; I absolutely love this tablet and its durability. It has neat features and abilities for the price.,So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,84.03387569049977,0.9651955366134644,0.8780487804878048,0.8780487804878048,0.8938626126126127
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","I bought a Kindle for my daughter; it's the fourth I've purchased over the years, one for each child, and it's a great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",65.42588324567515,0.9620434641838074,0.6938775510204083,0.6938775510204083,0.7456542968750001
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"After reading the reviews, I bought it knowing that I would have to remove the preloaded apps. It is perfect for my 7‑year‑old daughter, and it comes with a case and protection.","I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",38.28132939492647,0.9252186417579651,0.5348837209302325,0.41860465116279066,0.4193573401572824
ഈ tablet ലെ features price ന് young readers ന് easy choice ആക്കുന്നു,The tablet's features and price make it an easy choice for young readers.,The amount of features on this tablet for the price makes it an easy pick for young readers.,52.70622637699226,0.964298665523529,0.6250000000000001,0.5625000000000001,0.6218264635603344
"ഈ tablet വളരെ well perform ചെയ്യുന്നു, sophisticated tablet വേണ്ടാത്തവർക്ക് great ആണ്, price ന് value ഉണ്ട്","This tablet performs very well; it’s great for those who don’t need a sophisticated tablet, and it offers good value for the price.",This tablet performs very well. It is great for someone that does not need a sophisticated tablet. Great value for the price.,68.7710860448354,0.963353157043457,0.6808510638297872,0.6808510638297872,0.6520116697197911
"plane rides ൽ ഇത് great ആണ്, കാരണം extended battery life ഉം reading material നല്ല selection ഉം ഉണ്ട്",It is great on plane rides because it has extended battery life and a good selection of reading material.,I find this product to be great on plane rides due to extended battery life and great section of reading material,65.31009110624876,0.9380844831466675,0.5500000000000002,0.5500000000000002,0.5533958001063263
"Fire TV wonderful device ആണ്, Stick ഉണ്ട്, പക്ഷേ TV much better ആണ്","Fire TV is a wonderful device; it has a stick, but the TV is much better.",The Fire TV is a wonderful device. I have the Stick and I think that the TV is much better.,61.26330229375137,0.9428526163101196,0.6666666666666665,0.6666666666666665,0.5820358301747881
ചിലപ്പോൾ ചെറിയ കുട്ടിയെ പോലെ Alexa എന്നെ കേൾക്കില്ല,Sometimes Alexa doesn't listen to me like a small child.,But like a lil kid sometimes she/Alexa doesn't here me.,46.55817757084203,0.9124516248703003,0.6086956521739131,0.43478260869565216,0.5260416666666666
ഞാനും എന്റെ son ഉം tablet love ചെയ്യുന്നു. works great ആണ്. thanks.,My son and I love the tablet. It works great. Thanks.,My son and I love the tablet. Works great! Thanks!,77.97768381700138,0.9806129336357117,0.9523809523809523,0.9523809523809523,0.8195066557314995
"Alexa family friends ന് great gift ആണ്, always great feedback ലഭിക്കുന്നു.","It is a great gift for Alexa's family friends, and it always receives great feedback.",alexa is a great gift have given to family and friends always a great feedback,56.1906148634091,0.8998041749000549,0.7096774193548386,0.5806451612903225,0.5220655755415113
"mom ന് വാങ്ങി, easy simple ആണ്, books tablet ൽ load ചെയ്യാം","I bought it for Mom; it's easy and simple, and books can be loaded onto the tablet.","Bought for my Mom, easy to use, simple and she can load all of her books onto her tablet.",36.028398274486705,0.9477964639663696,0.5405405405405405,0.4864864864864865,0.3601631947258923
ഇത് ഒരാൾക്ക് great first tablet ആണ്. വളരെ inexpensive ആണ് കൂടാതെ നിങ്ങൾക്ക് വേണ്ടതെല്ലാം ഉണ്ട്,This is a great first tablet for someone. It is very inexpensive and has everything you need.,This is a great first tablet for someone. Very inexpensive and has everything you want on it,84.71872005240955,0.9793062806129456,0.8823529411764706,0.8235294117647058,0.9185799766770536
"background music play ചെയ്യാൻ sound quality good ആണ്, പക്ഷേ Sonos prefer ചെയ്യുന്നു, Alexa smart home control ന് useful ആണ്, Google Home പോലെ deep search ഇല്ല, decision മുമ്പ് compare ചെയ്യണം, home control വേണ്ടി suits ആണ്.","The sound quality is good for playing background music, but Sonos is preferred; Alexa is useful for smart‑home control, though it lacks the deep search of Google Home, so you should compare before deciding, as it suits home control.","Sound quality is pretty good if you want it to play background music, but I still prefer Sonos for this purpose. Alexa is useful for controlling the widest range of smart home products, but it's not backed by Google Home's superior search intelligence, so it isn't that great for asking in-depth questions of it. There are comparisons of these products out there, so take a look before making a decision. Since I mostly wanted it for home control, it suits my need.",32.68102585900141,0.9128966331481934,0.44444444444444453,0.34920634920634924,0.32528023519014515
"value beat ചെയ്യാൻ കഴിയില്ല, having one great ആണ്.",You can't beat value; having one great is.,you just cant beat the value here. great having one of these,35.48248258104531,0.8839321732521057,0.5714285714285715,0.4761904761904762,0.3746811224489796
"4 year old നു വാങ്ങി, Christmas gift ആയതിനാൽ ഇതുവരെ try ചെയ്തിട്ടില്ല. reviews പ്രകാരം job ചെയ്യും, price, color great ആണ്.","I bought it for a 4‑year‑old as a Christmas gift, so I haven't tried it yet. According to the reviews, it does the job, and the price and color are great.",I BOUGHT THIS FOR MY 4YR OLD. WE HAVE NOT TRIED IT YET AS IT IS A CHRISTMAS GIFT. FROM WHAT I READ THIS WILL DO THE JOB FOR HIM. THE PRICE AND COLOR WAS GREAT.,0.9408602150537635,0.9040408730506897,0.5714285714285715,0.45714285714285713,0.5091908320669485
"hands down best. nook ഉപയോഗിച്ചിരുന്നു, rarely use. kindle ൽ 5 books വായിച്ചു, smooth experience.","Hands down the best. I used the Nook, but rarely use it. I read five books on the Kindle, and the experience was smooth.",Hands down the best. I had a nook for years and rarely used it. I have already read 5 different books on the kindle and it's a much smoother experience.,44.99853844573775,0.9530336260795593,0.6181818181818182,0.5818181818181819,0.5126408772464209
എനിക്ക് amazon fire tablet വളരെ love ആണ്. home work ഉം school ഉം ഇടയിൽ back and forth പോകുമ്പോൾ ഇത് great ആണ്.,I love the Amazon Fire tablet a lot. It’s great when I go back and forth between homework and school.,I love the amazon fire tablet. It's great for me when I'm going back and forth between home work and school!,66.54989683688245,0.957419753074646,0.7727272727272727,0.7727272727272727,0.7016336952749269
എന്റെ wife really like ചെയ്യുന്നു. works great കൂടാതെ front & back camera ഇഷ്ടമാണ്,"My wife really likes it. It works great, and she likes the front and back camera.",Wife really likes it. Works great& likes the front & back camera.,73.88436904855247,0.9639806747436523,0.8148148148148148,0.8148148148148148,0.8026588795819566
6 years basic Kindle ഉപയോഗിച്ച ശേഷം upgrade ചെയ്തു. ഈ product ചെയ്യാൻ കഴിയുന്ന കാര്യങ്ങളിൽ ഞാൻ thrilled ആണ്. ഞാൻ avid reader ആണ്. Fire ഇത് ചെയ്യാനും other things ചെയ്യാനും അനുവദിക്കുന്നു. apps ഉം മറ്റു കാര്യങ്ങളും ഇപ്പോഴും explore ചെയ്യുന്നു. user manual ഉണ്ടായിരുന്നെങ്കിൽ നല്ലതായിരുന്നു,"After using a basic Kindle for six years, I upgraded. I am thrilled with what this product can do. I am an avid reader. The Fire lets me do this and other things. I am still exploring apps and other features. It would have been nice to have a user manual.","After having a basic Kindle for 6 years, I moved up. I am thrilled with all this product can do. I am an avid reader. The Fire let's me do that and lots of other things. I am still finding apps, and other things it will do. I know this sounds ""old fashioned"", but it would be great to have a user's manual! Thanks for asking.",55.2133258120853,0.9474894404411316,0.6890756302521008,0.6722689075630252,0.5904990797219392
"little tweaking കൊണ്ട് Playstore install ചെയ്യാം without rooting, great tablet ആണ്, excellent color, fast, battery long lasting.","With a little tweaking, you can install the Play Store without rooting; it's a great tablet with excellent color, fast performance, and a long‑lasting battery.","With a little tweaking you can install Playstore without rooting. It's a great tablet, excellent color, fast, and battery lasts a very long time.",69.00648073100668,0.9615489840507507,0.8076923076923077,0.7692307692307692,0.7589574104835733
register ചെയ്യാനും work ചെയ്യാനും പല problems ഉണ്ടായി. Best Buy Amazon internet provider customer service help ചെയ്തെങ്കിലും result ഇല്ല.,"There were many problems registering and working. Even though Best Buy, Amazon, and the internet provider’s customer service helped, there was no result.","Had all kinds of problems in registering it and getting it to work Had Customer service from Best Buy, Amazon and my internet provider trying to help, but to no avail.",45.81898359330193,0.9070156812667847,0.43636363636363634,0.3636363636363636,0.39282624814631734
"ഞങ്ങളുടെ granddaughter ന് reading ഇഷ്ടമാണ്, എന്റെ wife നും ഒരെണ്ണം ഉണ്ട്, അതിനാൽ ഇത് perfect gift ആണെന്ന് ഞങ്ങൾ thought ചെയ്തു.","Our granddaughter likes reading, and my wife also has one, so we thought it would be a perfect gift.",our granddaughter loves to read and my wife has one also so we thought this would be a perfect gift for her.,63.78458145408435,0.9722298383712769,0.7804878048780488,0.7317073170731707,0.7515229931532698
"very easy light ആണ്, backlight real paper പോലെ ആണ്, bed ൽ reading ന് best friend ആണ്.","It is a very easy-to-use light; the backlight looks like real paper, and it is a best friend for reading in bed.","it's very easy and light to use and the back light is very similar to real paper, so it's my best friend anywhere especially in bed before falling a sleep",38.19882807669489,0.930729329586029,0.6071428571428571,0.46428571428571425,0.39208074534161486
"use ചെയ്യാൻ easy ആണ്, lots of features ഉണ്ട്, kids interested ആയി നിർത്തുന്നു, good beginner tablet unit ആണ്","It is easy to use, has lots of features, keeps kids interested, and is a good beginner tablet unit.","Easy to use, lots of features, keeps kids interested, good beginner tablet unit",86.78719959510066,0.965770959854126,0.8125000000000001,0.8125000000000001,0.9549260853293412
"speaker functionality great ആണ്, sound good ആണ്.","The speaker's functionality is great, and the sound is good.","The functionality of the speaker is great, sound is good.",72.46256400019763,0.9793041348457336,0.8571428571428572,0.6666666666666666,0.8353254559114814
"TV streaming ന് best device ആണ്, Fire TV stick നേക്കാൾ expensive ആണ്, പക്ഷേ faster processor expandable memory കാരണം recommend ചെയ്യുന്നു","It is the best device for TV streaming, more expensive than the Fire TV Stick, but I recommend it because of its faster processor and expandable memory.",This is the best device to stream to your tv with all the apps available. It costs more than the firetv stick but I recommend it because of the quicker processor and expandable memory.,55.722648512283456,0.9442874789237976,0.6557377049180328,0.6229508196721312,0.6035799344248288
എന്റെ husband ഇത് love ചെയ്യുന്നു. Alexa യോട് music play ചെയ്യാനും jokes പറയാനും ഇഷ്ടമാണ്.,My husband loves this. He likes to have Alexa play music and tell jokes.,My husband loves it!! He likes telling Alexa to play music and to tell jokes,62.690929554228426,0.9638460278511047,0.8275862068965518,0.7586206896551724,0.665680473372781
"CNN Travel channel load ആവുന്നില്ല, DirectNOW 200MB speed ഉണ്ടെങ്കിലും, Google WiFi router ഉണ്ടെങ്കിലും, cable better എന്ന് തീരുമാനിച്ചു.","The CNN Travel channel won't load; even though we have a DirectNOW 200 MB connection and a Google WiFi router, we decided that cable is better.",Does not load up CNN or Travel channel.I even have DirectNOW for $50 a month and 200 MB internet speed. And the new google wifi router.I give up and will just go back to regular cable and pay the extra - for less hassle. Cable/Satellite WINS.,26.884184888038405,0.8849393725395203,0.4266666666666667,0.3466666666666667,0.2216796875
"surfing shopping ന് great ആണ്, price beat ചെയ്യാൻ കഴിയില്ല","Surfing shopping is great, you can't beat the price.",Great for surfing and shopping! Can't beat the price!,57.33927889814988,0.9261272549629211,0.8000000000000002,0.7,0.625
"ഇത് എന്റെ wife നായി gift ആയിരുന്നു, അവൾ absolutely love ചെയ്യുന്നു","This was a gift for my wife, and she absolutely loves it.",This was a gift for my wife and she absolutely loves it,92.90066840997233,0.9920318126678467,1.0,1.0,0.981329690346084
"great product ആണ്, day, night ഇരുവേളയും eyes friendly.","It is a great product, eye‑friendly both day and night.",Great product! Easy on the eyes in the day or night.,39.29007502703077,0.9259395003318787,0.36363636363636365,0.36363636363636365,0.3457364341085272
old Kindle broke. Paperwhite improvements ഇഷ്ടമാണ്. full touch screen ആണ്,The old Kindle broke. I like the Paperwhite improvements. It has a full touch screen.,Old kindle broke. I love the improvements of the paperwhite. It is all touch screen. The old was not.,59.41840816629127,0.9324670433998108,0.6470588235294117,0.5294117647058824,0.4263038548752835
ഈ device TV content കൊണ്ടുവരാൻ great ആണ്. Ethernet USB micro SD slots ഉണ്ട്.,"This device is great for bringing TV content. It has Ethernet, USB, and micro‑SD slots.","This device is great for bringing in content to your tv. This device has a wired Ethernet port, USB and a micro SD card slot.",48.71959530215461,0.9529852867126465,0.6829268292682927,0.6341463414634146,0.49447935885608846
"Google പോലെ anything ചോദിക്കാമെന്ന് കരുതി. എല്ലാം program ചെയ്യണം, ഇപ്പോൾ limited ആണ്. പക്ഷേ still cool ആണ്.","I thought I could ask anything like Google. Everything has to be programmed, and now it's limited. But it's still cool.","I guess I thought you could ask it anything kinda like Google. You have to program everything it does,pretty limited right now. But still pretty cool",44.20706808069815,0.9295184016227722,0.68,0.52,0.44523084205623886
"ഇത് lightweight ഉം easy to use ഉം ആണെന്ന് ഞാൻ love ചെയ്യുന്നു. എന്റെ local librarian എനിക്ക് e books borrow ചെയ്യാൻ എങ്ങനെ എന്ന് കാണിച്ചു, അത് ചെയ്യാൻ വളരെ simple ആണ്. എനിക്ക് perfect ആണ്","I love that it is lightweight and easy to use. My local librarian showed me how to borrow e‑books, and it is very simple to do. It is perfect for me.",I love that it is lightweight and easy to use. My local librarian showed me how to borrow e-books and it is so simple to do. Perfect for me.,86.16240711977366,0.9827561974525452,0.9354838709677419,0.9354838709677419,0.9228930168558651
