manglish,eng,prediction,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,Bought these Samsung tablets after having a lot of problems with them. So far like it. All the apps are available. Slower than previous tablets so 4 stars.,55.62722235348162,0.9351962804794312,0.6451612903225806,0.5161290322580646,0.5427402439340187
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,This was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,96.51455632399465,0.9953285455703735,0.9473684210526315,0.9473684210526315,0.9523214285714285
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,I bought this for my husband for Christmas and he was very happy with it. I also bought one for my son for Christmas. No issues and it has lived up to my expectations. Worth the money and a great deal.,43.673438634827356,0.9335265159606934,0.6041666666666666,0.5208333333333334,0.41644757672388444
"kids ന് great ആണ്, games books plenty ഉണ്ട്.",Great for kids. Lots of games and books for kids..,Great for kids. Plenty of games and books.,62.638809171824796,0.9793840646743774,0.7777777777777777,0.7777777777777777,0.635593220338983
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,Bought this for my teenage son (17) to give him eyes and neck rest from looking at media on an iPhone 7+. He totally loved it!,71.89707066146815,0.972325325012207,0.7857142857142856,0.7857142857142856,0.7592415902140673
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",Great little device. Time to cut the cable. Easy to set up and program.,"Great little device, time to cut the cable. Easy to set up and program.",91.7893569547509,0.9916288256645203,1.0,1.0,0.9402573529411764
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,"I purchased this tablet to replace a tablet I've had for reading. I'm glad I purchased it. It does exactly what I wanted it to do, even in the bright sun.",54.21972071824235,0.9476944208145142,0.6567164179104478,0.6268656716417911,0.6201503489406879
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,"So far so good, I absolutely love this tablet and its durability. It has neat features and abilities for the price.",84.03387569049977,0.9678817987442017,0.8780487804878048,0.8780487804878048,0.8938626126126127
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",I bought this kindle for my daughter and this is the fourth one I have purchased over the years. One for each child. Great product.,65.5308464552883,0.9636335968971252,0.6808510638297872,0.6808510638297872,0.7110792375154655
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",Purchased after reading the reviews I knew I would have to remove apps that were preloaded. Purchased for my 7 year old daughter and it is perfect for her. Has a case and protection.,40.82822701256345,0.9211734533309937,0.48837209302325585,0.46511627906976744,0.43376673979066255
