text,transliterated,translated_text
sathyam parayanallo trailer vijarichathra angudu kalangiyilla nnalum all the best,സഥ്യമ് പരയനല്ലോ ത്രൈലേര് വിജരിചഥ്ര അന്ഗുദു കലന്ഗിയില്ല ന്നലുമ് അല്ല് ഥേ ബേസ്ത്,sathyam parayanallo trailer vijarichathra angudu kalangiyilla nnalum all the best
jayettaaaa ente chunkkeee sabu chettan,ജയേത്താആ ഏന്തേ ചുന്ക്കീഏ സബു ചേത്തന്,jayettaaaaaa ente chunkkeee sabu chettan
നായകൻമാരെ കണ്ട് കഴിഞ്ഞ സ്ഥിതിക്ക് ഇനി വില്ലന്റെ ഊഴം fafa,നായകൻമാരെ കണ്ട് കഴിഞ്ഞ സ്ഥിതിക്ക് ഇനി വില്ലന്റെ ഊഴം ff,"Having met the heroes, it is now the turn of the villain in FIFA."
മവനെ കൊല ഗാൻഡിൽ ഇറുക്ക് കൊല്ലാമേ വിടമാട്ടെ,മവനെ കൊല ഗാൻഡിൽ ഇറുക്ക് കൊല്ലാമേ വിടമാട്ടെ,Kill him and leave him alone in the murder gang.
1 38 ee scene kaanaan vendi trailer kaanunnath aarokke,൧ ൩൮ ഈ സ്ചേനേ കാനാന് വേന്ദി ത്രൈലേര് കാനുന്നഥ് ആരോക്കേ,1 38 ee scene kanaan vendi trailer kaanunnath aarokke
മാമാകും കഴിഞ്ഞാൽ shylocin nalla hyp kodukanam,മാമാകും കഴിഞ്ഞാൽ ശ്യ്ലോചിന് നല്ല ഹ്യ്പ് കോദുകനമ്,Shylokin nalla hype kodukanam after mamakku
karaoke upload cheuukaya my chanal subscribe plz,കരഓകേ ഉപ്ലോഅദ് ചേഊകയ മ്യ് ചനല് സുബ്സ്ച്രിബേ പ്ല്z്,karaoke upload karaoke my channel subscribe plz
virus trailer kande evide vannavare undo,വിരുസ് ത്രൈലേര് കന്ദേ ഏവിദേ വന്നവരേ ഉന്ദോ,virus trailer kande evide vannavare undo
ratchasan bgm അടിച്ചു മാറ്റിയ ഗോപി സുന്ദര്,രത്ചസന് ബ്ഗ്മ് അടിച്ചു മാറ്റിയ ഗോപി സുന്ദര്,rachasan bgm remade by gopi sundar
ആറ്റം എൈറ്റമല്ല ഒരു അമട്ടിക്കന് ഇടിവെട്ട് ടീസര് ഇക്ക മരണ മാസ്സ്,ആറ്റം എൈറ്റമല്ല ഒരു അമട്ടിക്കന് ഇടിവെട്ട് ടീസര് ഇക്ക മരണ മാസ്സ്,Atom atom is not an amatic fall teaser eka death mass
