source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,"Bought this after problems with Samsung tablets. So far I like it. All apps are available. It is slower than previous tablets, so 4 stars.",I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,57.32750846544163,0.943359375,0.711864406779661,0.6440677966101696,0.5632078359351086
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.","This was the easiest tablet to use. I bought about 5 of them, and it was good for traveling.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,92.55374649318502,0.9932918548583984,0.9473684210526315,0.9473684210526315,0.9473933649289099
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.","Bought it for my husband for Christmas, very happy. Bought one for my son as well, no issues. Met expectations, worth the money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,35.64469607013543,0.9247409701347351,0.55,0.475,0.3352727919313253
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","Great for kids, plenty of games and books available.",Great for kids. Lots of games and books for kids..,57.19288065707669,0.9653967022895813,0.7368421052631577,0.7368421052631577,0.6302521008403362
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Bought this for my teenage son (17) to give his eyes and neck rest from watching media on an iPhone 7+. He totally loved it.,Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,65.3605897759502,0.9697187542915344,0.7636363636363636,0.7636363636363636,0.6906769341389588
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്","It is a great little device, time to cut the cable. Setup and programming are easy.",Great little device. Time to cut the cable. Easy to set up and program.,71.01056036301539,0.9560670852661133,0.6666666666666666,0.6000000000000001,0.6968143663134718
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും","Bought it to replace a tablet for reading. Happy with the purchase. It does exactly what I wanted, even in bright sunlight.",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,42.761614779048465,0.9378682971000671,0.5,0.46428571428571425,0.49826766304347825
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good. I absolutely love this tablet and its durability. It has neat features and abilities for the price.,So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,84.03387569049977,0.9694726467132568,0.8780487804878048,0.8780487804878048,0.8938626126126127
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought a Kindle for my daughter. This is the fourth one over the years, one for each child. It is a great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",67.00799553110755,0.964884877204895,0.711111111111111,0.6666666666666666,0.7766369047619048
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"Bought it after reading reviews and knowing preloaded apps would need to be removed. Perfect for my 7-year-old daughter, and it has a case and protection.","I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",29.11584731790649,0.9174699187278748,0.37499999999999994,0.3,0.27388833992094863
