source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,"Samsung tablets have problems after buying so far like it, all apps are available as in previous tablets call slow because of that 4 stars.",I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,48.88008994200364,0.8873814344406128,0.5423728813559322,0.4745762711864407,0.44294410150891644
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.","This was the easiest tablet to use. I bought approximately five of them, and they were good for traveling.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,70.47533082507708,0.985085129737854,0.7368421052631579,0.7368421052631579,0.7954377736597844
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.","Christmas gifts for my husband and son were bought, and I am very happy. There were no issues, and the expectations were met. It was worth the money, and it was a great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,34.190588643571616,0.9039139151573181,0.49438202247191015,0.33707865168539325,0.2715255354200989
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","Kids love great things, and there are plenty of games and books.",Great for kids. Lots of games and books for kids..,40.180856372676814,0.9268725514411926,0.5454545454545454,0.45454545454545453,0.5202408832385413
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.","My teenage son (17) bought this for himself, to give him a neck rest while watching media on his iPhone 7+, and he totally loved it.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,54.461091547616306,0.9480704069137573,0.7142857142857142,0.5714285714285715,0.6477713666599475
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്","This is a great little device, the time it takes to cut a cable. Setting it up and programming it is easy.",Great little device. Time to cut the cable. Easy to set up and program.,56.15154399467882,0.941300094127655,0.6111111111111112,0.5000000000000001,0.717852684144819
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും","I bought a tablet to replace reading, and I'm satisfied with the purchase, exactly what I wanted, and it's working even in bright sunlight.",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,39.529219988248414,0.9157760143280029,0.4666666666666667,0.3666666666666667,0.42895332558901506
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്","So far, so good. I absolutely love this tablet and its durability. The price is reasonable considering the neat features and abilities it has.",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,73.27698676328708,0.9478284120559692,0.7727272727272727,0.6818181818181818,0.8093300321133527
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","My daughter bought a Kindle, it's the fourth one I've bought in years, one for each child, it's a great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",57.05037020789258,0.9481326937675476,0.6521739130434783,0.5652173913043478,0.6060606060606061
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read reviews before buying and found out that I need to remove preloaded apps. The phone I bought for my 7-year-old daughter is perfect, with a case and protection.","I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",32.28361877642443,0.9190919995307922,0.4761904761904762,0.40476190476190477,0.3238630045591016
