index,source,target,llama_fewshot
0,"ഭാര്യ ഇത് ഇഷ്ടപ്പെടുന്നു, ധാരാളം വായിക്കുന്നു, ഇതാണ് അവളുടെ വായനക്കാരിലേക്കുള്ള യാത്ര.","Wife love it, reads a lot and this is her go to reader.","My wife loves it, she reads a lot, this is her journey to becoming a reader."
1,മുതിർന്ന പൗരനാണെങ്കിലും കമ്പ്യൂട്ടർ ഉപയോഗിക്കാത്ത എന്റെ ഭർത്താവിന് വേണ്ടിയാണ് ഞാൻ ഫയർ വാങ്ങിയത്. അവൻ അത് ഇഷ്ടപ്പെടുന്നു.,I bought the Fire for my husband who is a senior citizen but does not use a computer. He loves it.,I bought Fire for my husband who is a senior citizen and doesn't use a computer. He likes it.
2,പ്രോഗ്രാം ചെയ്യാനും ഉപയോഗിക്കാനും ഇത് വളരെ എളുപ്പമാണ്. എന്റെ വീട്ടിൽ ഉള്ള ചില സ്‌മാർട്ട് ഇനങ്ങളുമായി ഇത് ബന്ധിപ്പിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.,It is really easy to program and use. I am looking forward to connecting it to some of the smart items I have In my home.,It is very easy to program and use. I would like to connect it to some of the smart devices at my home.
3,എന്റെ ഭാര്യക്ക് അതിലെ സംഗീതം കേൾക്കാൻ ഇഷ്ടമാണ്,My wife love to listen the music on It warm great sound,My wife likes listening to the music on it.
4,ഒരു ടൺ സവിശേഷതകൾ ഉപയോഗിച്ച് ഉപയോഗിക്കാൻ എളുപ്പമാണ്. മികച്ച പ്രമേയം.,Easy to use with a ton of features. Great resolution.,It is easy to use with a ton of features. Great product.
5,"നിങ്ങളുടെ എല്ലാ സേവനങ്ങളും ഒരിടത്ത്. UI ശീലമാക്കാൻ കുറച്ച് സമയമെടുക്കും, പക്ഷേ രണ്ടാം സ്വഭാവമായി മാറുന്നു.","All your services in one place. UI takes a little getting used to, but becomes 2nd nature.","It takes some time to get used to the UI, but it becomes second nature."
6,"എനിക്ക് ആവശ്യമുള്ളതിന് വില ശരിയായിരുന്നു, എനിക്ക് ആവശ്യമുള്ളത് അത് ഡോസ് ചെയ്തു.",The price was right for what I needed and it dose what I need it to do.,"The price was right for what I needed, and it did the job."
7,"കഴിഞ്ഞ വർഷം അവർ വിൽപ്പനയ്‌ക്കെത്തിയപ്പോൾ ഇത് ലഭിച്ചു, ഇത് ഇഷ്‌ടപ്പെട്ടു! ചില സർഫിംഗ് ഉപയോഗിച്ച് ഇമെയിലുകൾ വായിക്കാനും നേടാനും ഞാൻ ഇത് പ്രാഥമികമായി ഉപയോഗിക്കുന്നു. ഈ ആപ്ലിക്കേഷനുകൾക്കായി ഇത് കുറ്റമറ്റ രീതിയിൽ പ്രവർത്തിച്ചു.",Got this when they were on sale last year and love it!I use it primarily to read and get emails with some surfing. It has worked flawlessly for these applications.,Last year when it went on sale I got this and I loved it! I primarily use it for some surfing to read and download emails. It worked perfectly for these apps.
8,എനിക്ക് ഈ ആമസോൺ തീ ഇഷ്ടമാണ്. ഒപ്പം വില താങ്ങാനാവുന്നതുമാണ്. ഇതിനെ സ്നേഹിക്കുക,I LOVE THIS AMAZON FIRE. AND THE PRICE IS AFFORDABLE. LOVE IT,I really like this Amazon Fire. It's also affordable. I love it.
9,കൊച്ചുമക്കൾക്ക് അവർ സന്ദർശിക്കുമ്പോൾ ഉപയോഗിക്കാനായി വാങ്ങിയത്. അവർ ഒരിക്കലും ബോറടിക്കുമെന്ന് തോന്നുന്നില്ല. ടിപ്പ്. നിങ്ങൾക്ക് ഇത് പാസ്‌വേഡ് പരിരക്ഷിതമാണെന്ന് ഉറപ്പാക്കുക അല്ലെങ്കിൽ ചാർജുകളിൽ അതിവേഗം റൺ അപ്പ് നിങ്ങൾ കണ്ടെത്തിയേക്കാം!,Purchased for the grandkids to use while they are visiting. They never seem to get bored.Tip. Make sure you have it password protected or you may find a rapid run up in charges!,I bought this for the kids to use when they visit. They never seem to get bored. Tip. Make sure it's password protected or you might find it running out of charge quickly!
10,"ഇത് എന്റെ രണ്ടാമത്തെ കിൻഡൽ ആയിരുന്നു, ഇത് കടലാസ് വെള്ളയല്ലെന്ന് എനിക്ക് മനസ്സിലായില്ല. എന്തൊരു വ്യത്യാസം. ഞാൻ ഇത് കടയിൽ തിരികെ കൊണ്ടുപോയി പേപ്പർ വെള്ളയായി മാറ്റി.. ഇത് എനിക്ക് വായിക്കാൻ എളുപ്പമായിരുന്നില്ല",This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.. this was not easy to read for me,"This was my second Kindle, and I didn't realize it wasn't a paperwhite. What a difference. I took it back to the store and exchanged it for a paperwhite... it was hard for me to read."
11,"ജയിൽ പൊളിഞ്ഞ ഒരെണ്ണം വാങ്ങുന്നതിനുപകരം ഞാൻ BestBuy-ൽ നിന്ന് ഒരെണ്ണം വാങ്ങി. അത് എന്നെ സംബന്ധിച്ചിടത്തോളം ഒരു ധാർമ്മിക തിരഞ്ഞെടുപ്പാണ്. പറഞ്ഞുവരുന്നത്, എനിക്ക് ആവശ്യമുള്ള ആപ്പുകൾ ചേർക്കാം. DVR ഇല്ലാത്തതും പരസ്യങ്ങളിലൂടെ വേഗത്തിൽ fwd ചെയ്യാൻ കഴിയാത്തതും ആണ് ഇതുവരെയുള്ള ഏറ്റവും ബുദ്ധിമുട്ടുള്ള കാര്യം... എന്നാൽ ഞാൻ നിലവിൽ വാങ്ങുന്ന $40/മാസം ആപ്പുകൾ ഉൾപ്പെടെ കേബിളിലൂടെ ഞാൻ പ്രതിമാസം $100 ലാഭിക്കുന്നു. .","I bought one from BestBuy instead of buying one that is jail-broke. That is a moral choice for me. That being said, I can add the apps I want. The hardest part so far is getting used to not having a DVR and not being able to fast fwd through commercials...but I'm saving over $100/ month over cable, including the $40/month of apps that I'm currently buying.","I bought a tablet from BestBuy instead of buying a jailbroken one. It was a moral choice as far as I'm concerned. As it says, I can add the apps I need. The only thing that's been a hassle so far is that it doesn't have DVR and you can't fast forward through commercials, but I'm currently saving $60 a month by not having to pay for apps through my cable subscription."
12,ശബ്ദ തിരിച്ചറിയൽ മികച്ചതാണ്. വെബിൽ ചോദ്യങ്ങൾ ചോദിക്കുന്നതിന് ഒരു അലാറം സജ്ജീകരിക്കുന്നതിന് ഉപയോഗപ്രദമാണ്.,Voice recognition is outstanding. Useful for setting an alarm to asking questions on the web.,Sound recognition is great. It's useful for setting up an alarm to ask questions on the web.
13,"ഇത് ഞങ്ങളുടെ രണ്ടാമത്തെ എക്കോ ആണ്. എന്റെ ഭർത്താവിന് കുളത്തിനരികിൽ അവന്റെ ഉപയോഗത്തിനായി സ്വന്തമായി ഉണ്ടായിരിക്കണം, അതിനാൽ അയാൾക്ക് എന്തെങ്കിലും കണ്ടെത്തണമെങ്കിൽ, കുളത്തിൽ കിടന്ന് ടിവി കാണുമ്പോൾ അലക്സയോട് ചോദിക്കുകയും ഉത്തരം കണ്ടെത്തുകയും ചെയ്യാം. ചുറ്റുപാടും ചോദ്യങ്ങൾ ചോദിക്കുന്നതും രസകരമായ ഒരു കാര്യം.","This is our 2nd Echo. My husband had to have his own for his use outside by the pool so when he wanted to find out something, he could just ask Alexa and find the answer all while laying in the pool and watching tv. Such a fun thing to have around and ask questions to.","This is our second Echo. My husband needs one of his own to use by the pool, so if he finds something, he can ask Alexa while watching TV in the pool. It's also fun to ask her questions around the house."
