index,manglish,eng,mal,gpt5_fewshot
0,Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,"2 സാംസങ് ടാബ്‌ലെറ്റുകളിലെ പ്രശ്‌നങ്ങൾക്ക് ശേഷമാണ് ഞാൻ ഈ ടാബ്‌ലെറ്റിലേക്ക് പോകുന്നത്. ഇതുവരെ അത് പോലെ. ഞാൻ ഉപയോഗിക്കുന്ന എല്ലാ ആപ്പുകളും ലഭ്യമാണ്. മുൻ ടാബ്‌ലെറ്റുകളേക്കാൾ അൽപ്പം വേഗത കുറവാണ്, അതാണ് 4 നക്ഷത്രങ്ങൾക്കുള്ള ഏക കാരണം","Bought this after problems with Samsung tablets. So far I like it. All apps are available. It is slower than previous tablets, so 4 stars."
1,"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,"ഉപയോഗിക്കാൻ ഏറ്റവും എളുപ്പമുള്ള ടാബ്‌ലെറ്റായിരുന്നു അത്. ഞാൻ അതിൽ 5 എണ്ണം വാങ്ങി, അത് യാത്രയ്ക്ക് നല്ലതാണ്.","This was the easiest tablet to use. I bought about 5 of them, and it was good for traveling."
2,"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,"ക്രിസ്മസിന് ഇത് എന്റെ ഭർത്താവിനായി വാങ്ങി. അവൻ അതിൽ വളരെ സന്തുഷ്ടനാണ്, അത് അവനെ എന്റെ മുടിയിൽ നിന്ന് അകറ്റി നിർത്തുന്നു. ഞങ്ങളുടെ ചെറിയ മകന് വേണ്ടിയും ഒരെണ്ണം വാങ്ങി. ഇപ്പോൾ എനിക്ക് ശ്വസിക്കാം. പൊട്ടിച്ചിരിക്കുക. ഞങ്ങൾക്ക് അവരുമായി പ്രശ്‌നങ്ങളൊന്നും ഉണ്ടായിരുന്നില്ല, മാത്രമല്ല ഞങ്ങളുടെ പ്രതീക്ഷകൾ നിറവേറ്റുന്നതിലും കൂടുതൽ. പണത്തിന് നല്ല വിലയും വളരെ നല്ല ഡീലും!","Bought it for my husband for Christmas, very happy. Bought one for my son as well, no issues. Met expectations, worth the money, great deal."
3,"kids ന് great ആണ്, games books plenty ഉണ്ട്.",Great for kids. Lots of games and books for kids..,കുട്ടികൾക്ക് മികച്ചത്. കുട്ടികൾക്കായി ധാരാളം ഗെയിമുകളും പുസ്തകങ്ങളും..,"Great for kids, plenty of games and books available."
4,"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,"എന്റെ കൗമാരക്കാരനായ മകന് (17) ഇത് ലഭിച്ചു, അതിലൂടെ അവന്റെ iPhone 7+-ലെ മീഡിയയിലേക്ക് നോക്കുന്നതിൽ നിന്ന് അവന്റെ കണ്ണുകൾക്കും കഴുത്തിനും വിശ്രമം നൽകാനായി അയാൾക്ക് ഇത് പൂർണ്ണമായും ഇഷ്ടപ്പെട്ടു!",Bought this for my teenage son (17) to give his eyes and neck rest from watching media on an iPhone 7+. He totally loved it.
5,"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",Great little device. Time to cut the cable. Easy to set up and program.,വലിയ ചെറിയ ഉപകരണം. കേബിൾ മുറിക്കാനുള്ള സമയം. സജ്ജീകരിക്കാനും പ്രോഗ്രാം ചെയ്യാനും എളുപ്പമാണ്.,"It is a great little device, time to cut the cable. Setup and programming are easy."
6,"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,ഞാൻ വായനയ്ക്കായി മാത്രം ഉപയോഗിക്കുന്ന മറ്റൊരു ടാബ്‌ലെറ്റിന് പകരമായി തിരയുകയായിരുന്നു. ഞാൻ ഇത് വാങ്ങിയതിൽ എനിക്ക് സന്തോഷമുണ്ട് -- ഇത് എനിക്ക് വേണ്ടത് കൃത്യമായി ചെയ്യുന്നു...വെയിലത്ത് പോലും.,"Bought it to replace a tablet for reading. Happy with the purchase. It does exactly what I wanted, even in bright sunlight."
7,"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,ഇതുവരെ ഞാൻ ഈ ടാബ്‌ലെറ്റും അതിന്റെ ദൈർഘ്യവും തികച്ചും ഇഷ്ടപ്പെടുന്നു. വിലയുടെ വൃത്തിയുള്ള സവിശേഷതകളും കഴിവുകളും!,So far so good. I absolutely love this tablet and its durability. It has neat features and abilities for the price.
8,"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product","എന്റെ മകൾക്ക് കിൻഡിൽ വാങ്ങി. വർഷങ്ങളായി ഞങ്ങൾ വാങ്ങിയ നാലാമത്തേതാണിത്, ഓരോ കുട്ടിക്കും ഒന്ന്. മികച്ച ഉൽപ്പന്നം","Bought a Kindle for my daughter. This is the fourth one over the years, one for each child. It is a great product."
9,reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.","ഇത് വാങ്ങുന്നതിന് മുമ്പ് ഞാൻ അവലോകനങ്ങൾ വായിച്ചു, അതിനാൽ ഞാൻ നീക്കം ചെയ്യേണ്ടി വരുന്ന ആപ്പുകൾ മുൻകൂട്ടി ലോഡുചെയ്യുമെന്ന് അറിഞ്ഞുകൊണ്ട് ഞാൻ അതിലേക്ക് പോയി. പറഞ്ഞുവരുന്നത്, ഞാൻ ഇത് എന്റെ 7 വയസ്സുള്ള മകൾക്കായി വാങ്ങിയതാണ്, കേസും തടസ്സമില്ലാത്ത സംരക്ഷണ ഗ്യാരണ്ടിയും ഉൾപ്പെടുന്നതിനാൽ ഇത് ആവശ്യത്തിന് അനുയോജ്യമാണ്.","Bought it after reading reviews and knowing preloaded apps would need to be removed. Perfect for my 7-year-old daughter, and it has a case and protection."
