source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,"I bought a Samsung tablet after having problems, and so far I like it; all apps are available, but it’s slower than my previous tablets, so I give it four stars.",I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,49.67755285652172,0.9198264479637146,0.5757575757575757,0.48484848484848486,0.44086277817506153
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.","It was the easiest tablet to use. I bought about five of them, and they were good for traveling.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,79.92073317563873,0.989648699760437,0.8421052631578947,0.8421052631578947,0.8962728597497736
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.","I bought one for my husband for Christmas and was very happy, and I also bought one for my son. There were no issues, expectations were met, it was worth the money and a great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,36.891744096069665,0.920459508895874,0.5494505494505494,0.4395604395604396,0.34883525778732544
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","It's great for kids, and there are plenty of games and books.",Great for kids. Lots of games and books for kids..,54.18921304594414,0.9451748132705688,0.608695652173913,0.608695652173913,0.6097560975609756
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",I bought this for my 17‑year‑old teenage son to give his eyes and neck a break from watching media on his iPhone 7+. He totally loved it.,Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,62.291610619915716,0.9465620517730713,0.7457627118644068,0.711864406779661,0.6366595718041819
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",It is a great little device for cutting cables; setup and programming are easy.,Great little device. Time to cut the cable. Easy to set up and program.,56.18808775161257,0.9455103278160095,0.35714285714285715,0.2857142857142857,0.45364891518737666
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും","I bought it to replace my tablet for reading, and I'm happy with the purchase; it does exactly what I wanted, even in bright sunlight.",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,43.12923063691932,0.9382582306861877,0.5,0.4666666666666667,0.4929099462365592
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്","So far so good, I absolutely love this tablet and its durability. It has neat features and abilities for the price.",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,84.03387569049977,0.9678817987442017,0.8780487804878048,0.8780487804878048,0.8938626126126127
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","I bought a Kindle for my daughter; it's the fourth I've purchased over the years, one for each child, and it's a great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",65.42588324567515,0.9620434641838074,0.6938775510204083,0.6938775510204083,0.7456542968750001
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read the reviews before buying and learned that I would have to remove the preloaded apps. It is perfect for my 7‑year‑old daughter, and it comes with a case and protection.","I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",38.75248583182212,0.9252367615699768,0.5348837209302325,0.41860465116279066,0.4087260771079882
