source,target,prediction,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,I bought this after having problems with my Samsung tablets. So far I like it because it has all the apps I need and is slower than my previous tablets. That's why I gave it 4 stars.,48.10133409549883,0.9290716648101807,0.6388888888888888,0.5833333333333334,0.5798500142391545
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,This was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,96.51455632399465,0.9994395971298218,0.9473684210526315,0.9473684210526315,0.9523214285714285
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,I bought this for my husband for Christmas. Very happy with it. I also bought one for my son. He has had no issues with it and it has lived up to my expectations. Well worth the money. Great deal!,50.48507763484186,0.9331312775611877,0.631578947368421,0.5473684210526315,0.4988697528708992
"kids ന് great ആണ്, games books plenty ഉണ്ട്.",Great for kids. Lots of games and books for kids..,Great for kids lots of games and books to read.,67.7632573173578,0.9454724192619324,0.8000000000000002,0.8000000000000002,0.7231040564373898
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,I bought this for my teenage son17 to give him the rest of his eyes and neck from staring at media on his iPhone 7 +. He absolutely loved it.,62.169248719180345,0.9539393186569214,0.6779661016949153,0.6440677966101694,0.5559531527587164
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",Great little device. Time to cut the cable. Easy to set up and program.,Great little device time to cut the cable. Easy to set up and program.,92.12127443722243,0.955784022808075,1.0,1.0,0.9458210059171597
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,I bought this to replace a tablet I had purchased for reading. I'm so glad I purchased it. It does exactly what I wanted it to do. Even in bright sunshine.,46.610876436617204,0.9455086588859558,0.6060606060606061,0.5757575757575757,0.5220963771310992
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,So far so good I absolutely love this tablet and its durability. Neat features and abilities for the price.,85.54698583274403,0.9719339609146118,0.9230769230769231,0.9230769230769231,0.9095890410958902
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",I bought this Kindle for my daughter. This is the fourth one I have purchased in years. One for each child. Great product.,61.406073617460855,0.956870436668396,0.6222222222222223,0.6222222222222223,0.6059482616576042
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",I bought this after reading reviews and was aware that I would have to remove any preloaded apps. This was a perfect purchase for my 7 year old daughter. It has a case and protection.,33.55221147283095,0.9278964996337891,0.43678160919540227,0.3448275862068965,0.2997779286802357
ഈ tablet ലെ features price ന് young readers ന് easy choice ആക്കുന്നു,The amount of features on this tablet for the price makes it an easy pick for young readers.,The features in this tablet make it an easy choice for young readers for the price.,61.97130068414326,0.9716801047325134,0.7647058823529411,0.5882352941176471,0.7117021276595744
"ഈ tablet വളരെ well perform ചെയ്യുന്നു, sophisticated tablet വേണ്ടാത്തവർക്ക് great ആണ്, price ന് value ഉണ്ട്",This tablet performs very well. It is great for someone that does not need a sophisticated tablet. Great value for the price.,This tablet performs very well and is great for those who don't want a sophisticated tablet. It's worth the price.,61.81290510375628,0.9593586325645447,0.6363636363636364,0.5909090909090909,0.6588985700587818
"plane rides ൽ ഇത് great ആണ്, കാരണം extended battery life ഉം reading material നല്ല selection ഉം ഉണ്ട്",I find this product to be great on plane rides due to extended battery life and great section of reading material,This is great for plane rides because of the extended battery life and a good selection of reading material.,60.55933326844007,0.936711847782135,0.5500000000000002,0.5500000000000002,0.5382775119617224
"Fire TV wonderful device ആണ്, Stick ഉണ്ട്, പക്ഷേ TV much better ആണ്",The Fire TV is a wonderful device. I have the Stick and I think that the TV is much better.,The fire tv is a wonderful device. I have the stick but the tv is so much better.,57.36468797252721,0.9516699314117432,0.8421052631578948,0.8421052631578948,0.8168393929097294
ചിലപ്പോൾ ചെറിയ കുട്ടിയെ പോലെ Alexa എന്നെ കേൾക്കില്ല,But like a lil kid sometimes she/Alexa doesn't here me.,Sometimes Alexa doesn't hear me like a little kid.,55.532362484221665,0.9088006615638733,0.7272727272727272,0.45454545454545453,0.5304621848739496
ഞാനും എന്റെ son ഉം tablet love ചെയ്യുന്നു. works great ആണ്. thanks.,My son and I love the tablet. Works great! Thanks!,Me and my son love this tablet. Works great. Thanks,62.50346995526244,0.9641619324684143,0.8000000000000002,0.7,0.5335438797971097
"Alexa family friends ന് great gift ആണ്, always great feedback ലഭിക്കുന്നു.",alexa is a great gift have given to family and friends always a great feedback,Alexa is a great gift for family and friends. Always great feedback.,66.55247352097767,0.925909698009491,0.8148148148148148,0.8148148148148148,0.6783515447334848
