source,target,prediction,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,Purchased after problems with Samsung tablets. So far like it. It has all the apps available. Very slow compared to previous tablets so 4 stars.,51.36915644987542,0.9344325065612793,0.576271186440678,0.5423728813559322,0.4577348066298343
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,This was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,96.51455632399465,0.9953285455703735,0.9473684210526315,0.9473684210526315,0.9523214285714285
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,I bought this for my husband for Christmas and he was very happy with it. I also bought one for my son for Christmas. No issues and it has lived up to my expectations. Worth the money and a great deal.,43.673438634827356,0.9335265159606934,0.6041666666666666,0.5208333333333334,0.41644757672388444
"kids ന് great ആണ്, games books plenty ഉണ്ട്.",Great for kids. Lots of games and books for kids..,"Great for kids, lots of games and books.",68.32464441294009,0.9744156002998352,0.888888888888889,0.888888888888889,0.7292320569156728
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,Bought this for my teenage son (17) to give him eyes neck rest from watching media on his iPhone 7+. He totally loved it.,62.264843758865766,0.960173487663269,0.7407407407407408,0.7407407407407408,0.6660203432930704
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്",Great little device. Time to cut the cable. Easy to set up and program.,"Great little device, time to cut the cable. Easy to set up and program.",91.7893569547509,0.9916288256645203,1.0,1.0,0.9402573529411764
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,Purchased this tablet to replace a tablet for reading. I am glad I purchased this tablet and it does exactly what I wanted it to do in the bright sun.,54.97858772343095,0.9409116506576538,0.625,0.625,0.6247911096256683
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,"So far so good, I absolutely love this tablet and its durability. Has neat features and abilities for the price.",84.40487342468211,0.9722136855125427,0.9,0.9,0.8979072398190044
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",Bought the Kindle for my daughter and this is the fourth one I have purchased over the years. One for each child. Great product.,70.56041494318634,0.9755021333694458,0.7391304347826088,0.7391304347826088,0.7574900793650795
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",I read the reviews and bought this because I knew I would have to remove the apps that I had preloaded. Purchased it for my 7 year old daughter and it is perfect for her. It has the case and the protection.,43.98251599572009,0.9310749769210815,0.6170212765957447,0.5531914893617021,0.5134249281609194
ഈ tablet ലെ features price ന് young readers ന് easy choice ആക്കുന്നു,The amount of features on this tablet for the price makes it an easy pick for young readers.,The features on this tablet make it an easy choice for young readers for the price and price.,65.92424295524793,0.9720718264579773,0.7777777777777778,0.6111111111111112,0.7671669407894737
"ഈ tablet വളരെ well perform ചെയ്യുന്നു, sophisticated tablet വേണ്ടാത്തവർക്ക് great ആണ്, price ന് value ഉണ്ട്",This tablet performs very well. It is great for someone that does not need a sophisticated tablet. Great value for the price.,"This tablet performs very well, great for someone who doesn't need a sophisticated tablet. Worth the price.",70.9579927725001,0.9690186381340027,0.7000000000000001,0.7000000000000001,0.6669339184741329
"plane rides ൽ ഇത് great ആണ്, കാരണം extended battery life ഉം reading material നല്ല selection ഉം ഉണ്ട്",I find this product to be great on plane rides due to extended battery life and great section of reading material,This is great for plane rides because it has extended battery life and a good selection of reading material.,60.378958070162845,0.9361158013343811,0.5500000000000002,0.5500000000000002,0.5382775119617224
