source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,Samsung tablets bought after problems so far like it apps are all available previous tablets are slow so 4 stars,I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,48.01218228900892,0.893993079662323,0.5555555555555556,0.4444444444444445,0.3790368271954674
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.","It was the easiest tablet to use. I bought about 5 of them, and it was good for traveling.",It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,96.00557560420968,0.9972124695777893,1.0,1.0,0.9948307917163707
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.","Bought for husband on Christmas, very happy, bought for son too, no issues, met expectations, worth money, great deal.",Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,27.373413841458678,0.8943209648132324,0.45945945945945943,0.45945945945945943,0.1969479316303375
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","It's great for kids, there are plenty of games books.",Great for kids. Lots of games and books for kids..,41.95800562928172,0.9280217885971069,0.5714285714285713,0.5714285714285713,0.4730983302411874
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.",Bought this for my teenage son (17) to give him a neck rest from watching media on his iPhone 7 +. He absolutely loved it.,Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,56.05858464896756,0.9604198336601257,0.7037037037037038,0.6666666666666665,0.5938650306748468
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്","Great little device, time to cut the cable. Easy to setup and program.",Great little device. Time to cut the cable. Easy to set up and program.,91.7893569547509,0.9878547191619873,0.888888888888889,0.888888888888889,0.82432677212897
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും","Purchased to replace the tablet for reading, happy with the purchase, doing exactly what you want, even in the bright sun.",I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,43.18543462382401,0.9212769865989685,0.4727272727272727,0.43636363636363634,0.37771722676354824
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്","So far so good, I absolutely love this tablet and its durability.",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,53.084526532911525,0.940775454044342,0.6874999999999999,0.6874999999999999,0.5957630903204199
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","Bought a Kindle for my daughter, 4th in years, one for each child, great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",57.214030560001476,0.9476198554039001,0.7027027027027029,0.7027027027027029,0.5681238615664845
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,Read reviews and know you'll have to remove preloaded apps. Perfect for a 7 year old daughter with a case and protection.,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",26.957570313338152,0.901556670665741,0.3466666666666667,0.26666666666666666,0.2514940239043824
